ID;Dialektregion;WS;AgeGroup;Spalte2;Result;Annotation;Source
1;Westmittelbairisch;23;alt;_0S;„Hintn unser’m Haus steh’n drei schene Apfelbäumchen mit rotn Äpfelchen.“;chen;Synthetic
2;Westmittelbairisch;23;alt;_0S;„Hintn unser’m Haus steh’n drei schene Apfelbäumchen mit rotn Äpfelchen.“;chen;Synthetic
3;Westmittelbairisch;23;alt;_DR_0S;In meiner Sprache aus Taufkirchen an der Pram würde das so klingen: „Hinter unserm Haus stehn drei schöne Apfelbäumchen mit roten Äpfelchen.“;chen;Synthetic
4;Westmittelbairisch;23;alt;_DR_0S;In meiner Sprache aus Taufkirchen an der Pram würde das so klingen: „Hinter unserm Haus stehn drei schöne Apfelbäumchen mit roten Äpfelchen.“;chen;Synthetic
5;Westmittelbairisch;23;alt;_1S;Hinter unsarn Haus steh'n drei schene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
6;Westmittelbairisch;23;alt;_1S;Hinter unsarn Haus steh'n drei schene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
7;Westmittelbairisch;23;alt;_DR_1S;Hinder unsrem Haus stehn drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
8;Westmittelbairisch;23;alt;_DR_1S;Hinder unsrem Haus stehn drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
9;Westmittelbairisch;23;alt;_FS;Hinter unserm Haus stehn drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
10;Westmittelbairisch;23;alt;_FS;Hinter unserm Haus stehn drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
11;Westmittelbairisch;23;alt;_DR_FS;Hinter unserm Haus steh'n drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
12;Westmittelbairisch;23;alt;_DR_FS;Hinter unserm Haus steh'n drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
13;Westmittelbairisch;23;jung;_0S;„Hinter unser’m Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.“;chen;Synthetic
14;Westmittelbairisch;23;jung;_0S;„Hinter unser’m Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.“;chen;Synthetic
15;Westmittelbairisch;23;jung;_DR_0S;"In Westmittelbairisch würde das so klingen:

""Hinter unserm Haus steh'n drei scheene Apfelbäumli mit rotn Äpfel.""";li;Synthetic
16;Westmittelbairisch;23;jung;_DR_0S;"In Westmittelbairisch würde das so klingen:

""Hinter unserm Haus steh'n drei scheene Apfelbäumli mit rotn Äpfel.""";0;Synthetic
17;Westmittelbairisch;23;jung;_1S;Hinter unserm Haus steh'n drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
18;Westmittelbairisch;23;jung;_1S;Hinter unserm Haus steh'n drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
19;Westmittelbairisch;23;jung;_DR_1S;Hinter unserm Haus stehn drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
20;Westmittelbairisch;23;jung;_DR_1S;Hinter unserm Haus stehn drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
21;Westmittelbairisch;23;jung;_FS;Hinter unserm Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
22;Westmittelbairisch;23;jung;_FS;Hinter unserm Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
23;Westmittelbairisch;23;jung;_DR_FS;Hinter unsrem Haus stehn drei schene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
24;Westmittelbairisch;23;jung;_DR_FS;Hinter unsrem Haus stehn drei schene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
25;Westmittelbairisch;24;alt;_0S;Na, könnt’s net noch a Augenblickl auf uns wart’n, dann geh’n wir mit eich.;(e)l;Synthetic
26;Westmittelbairisch;24;alt;_DR_0S;"In meinem Dialekt würde das so klingen: 

„Könnt’s net a weng auf uns warten, dann geh’n wir mit eich.“";IRR;Synthetic
27;Westmittelbairisch;24;alt;_1S;Könnt's ihr ned no a Aug'nblickchen auf uns warten, dann gehn ma mit eich.;chen;Synthetic
